ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Electric range (km)
1271901,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL52(N),AXAL52R-ANXMBW(2E),TOYOTA,TOYOTA RAV4,M1,M1,1,1665,,105,129,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271902,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL52(N),AXAL52R-ANXMBW(2E),TOYOTA,TOYOTA RAV4,M1,M1,1,1665,,105,129,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271903,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL52(N),AXAL52R-ANXMBW(2E),TOYOTA,TOYOTA RAV4,M1,M1,1,1665,,105,129,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271904,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL54(N),AXAL54R-ANXGBW(1E),TOYOTA,TOYOTA RAV4,M1,M1,1,1730,,102,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1271905,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL54(N),AXAL54R-ANXGBW(1E),TOYOTA,TOYOTA RAV4,M1,M1,1,1730,,102,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272710,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,100,128,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272711,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,100,128,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272712,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,100,128,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272713,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,100,,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272714,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,100,,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272715,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,100,,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272716,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(1C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,100,128,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272717,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(1E),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,100,128,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272718,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(1E),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,100,128,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272719,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272720,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272721,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272722,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1272723,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*02-w,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2C),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1273959,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*03,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2D),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1273960,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*03,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2D),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1273961,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*03,"XA5(EU,M)",AXAH54(N),AXAH54R-ANXMBW(2D),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1273962,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL52(N),AXAL52R-ANXGBW(1E),TOYOTA,TOYOTA RAV4,M1,M1,1,1680,,105,129,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1273963,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL52(N),AXAL52R-ANXGBW(1E),TOYOTA,TOYOTA RAV4,M1,M1,1,1680,,105,129,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1273964,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL52(N),AXAL52R-ANXGBW(1E),TOYOTA,TOYOTA RAV4,M1,M1,1,1680,,105,129,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1273965,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL52(N),AXAL52R-ANXGBW(1E),TOYOTA,TOYOTA RAV4,M1,M1,1,1680,,105,129,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1273966,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL52(N),AXAL52R-ANXGBW(1E),TOYOTA,TOYOTA RAV4,M1,M1,1,1680,,105,129,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1274423,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL54(N),AXAL54R-ANXMBW(2E),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
1274424,CY,,TOYOTA-MAZDA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,TOYOTA,e6*2007/46*0289*04,"XA5(EU,M)",AXAL54(N),AXAL54R-ANXMBW(2E),TOYOTA,TOYOTA RAV4,M1,M1,1,1720,,101,131,2690,1610,1640,PETROL,H,2487,131,,,,,,,P,2020,
